BARCODE,ARR_DESIGN,EXP_ID,GROUP_ID,INDIVIDUAL_ID,ORGAN,MATERIAL_ID,COMPOUND_NAME,COMPOUND_ABBREVIATION,COMPOUND_NO,SPECIES,EXP_TEST_TYPE,SINGLE_REPEAT_TYPE,SEX_TYPE,STRAIN_TYPE,ADMINISTRATION_ROUTE_TYPE,ANIMAL_AGE(week),SACRIFICE_PERIOD,DOSE,DOSE_UNIT,DOSE_LEVEL
003017644018,Rat230_2,0040,01,1,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,0,mg/kg,Control
003017804015,Rat230_2,0040,01,1,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,0,mg/kg,Control
003017644019,Rat230_2,0040,01,3,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,0,mg/kg,Control
003017804016,Rat230_2,0040,01,3,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,0,mg/kg,Control
003017644020,Rat230_2,0040,01,5,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,0,mg/kg,Control
003017804017,Rat230_2,0040,01,5,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,0,mg/kg,Control
003017644030,Rat230_2,0040,02,1,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,0,mg/kg,Control
003017808009,Rat230_2,0040,02,1,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,0,mg/kg,Control
003017645001,Rat230_2,0040,02,4,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,0,mg/kg,Control
003017808010,Rat230_2,0040,02,4,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,0,mg/kg,Control
003017645002,Rat230_2,0040,02,5,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,0,mg/kg,Control
003017808011,Rat230_2,0040,02,5,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,0,mg/kg,Control
003017645012,Rat230_2,0040,03,2,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,0,mg/kg,Control
003017811019,Rat230_2,0040,03,2,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,0,mg/kg,Control
003017645013,Rat230_2,0040,03,4,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,0,mg/kg,Control
003017811020,Rat230_2,0040,03,4,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,0,mg/kg,Control
003017645014,Rat230_2,0040,03,5,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,0,mg/kg,Control
003017811021,Rat230_2,0040,03,5,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,0,mg/kg,Control
003017645024,Rat230_2,0040,04,2,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,0,mg/kg,Control
003017814021,Rat230_2,0040,04,2,Kidney,C,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,0,mg/kg,Control
003017645025,Rat230_2,0040,04,3,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,0,mg/kg,Control
003017814022,Rat230_2,0040,04,3,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,0,mg/kg,Control
003017645026,Rat230_2,0040,04,4,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,0,mg/kg,Control
003017814023,Rat230_2,0040,04,4,Kidney,C,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,0,mg/kg,Control
003017644021,Rat230_2,0040,11,1,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,300,mg/kg,Low
003017804018,Rat230_2,0040,11,1,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,300,mg/kg,Low
003017644022,Rat230_2,0040,11,2,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,300,mg/kg,Low
003017804019,Rat230_2,0040,11,2,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,300,mg/kg,Low
003017644023,Rat230_2,0040,11,4,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,300,mg/kg,Low
003017804020,Rat230_2,0040,11,4,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,300,mg/kg,Low
003017645003,Rat230_2,0040,12,1,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,300,mg/kg,Low
003017808012,Rat230_2,0040,12,1,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,300,mg/kg,Low
003017645004,Rat230_2,0040,12,2,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,300,mg/kg,Low
003017808013,Rat230_2,0040,12,2,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,300,mg/kg,Low
003017645005,Rat230_2,0040,12,5,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,300,mg/kg,Low
003017808014,Rat230_2,0040,12,5,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,300,mg/kg,Low
003017645015,Rat230_2,0040,13,2,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,300,mg/kg,Low
003017811022,Rat230_2,0040,13,2,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,300,mg/kg,Low
003017645016,Rat230_2,0040,13,3,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,300,mg/kg,Low
003017811023,Rat230_2,0040,13,3,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,300,mg/kg,Low
003017645017,Rat230_2,0040,13,4,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,300,mg/kg,Low
003017811024,Rat230_2,0040,13,4,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,300,mg/kg,Low
003017645027,Rat230_2,0040,14,1,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,300,mg/kg,Low
003017814024,Rat230_2,0040,14,1,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,300,mg/kg,Low
003017645028,Rat230_2,0040,14,4,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,300,mg/kg,Low
003017814025,Rat230_2,0040,14,4,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,300,mg/kg,Low
003017645029,Rat230_2,0040,14,5,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,300,mg/kg,Low
003017814026,Rat230_2,0040,14,5,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,24 hr,300,mg/kg,Low
003017644024,Rat230_2,0040,16,1,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,600,mg/kg,Middle
003017804021,Rat230_2,0040,16,1,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,600,mg/kg,Middle
003017644025,Rat230_2,0040,16,2,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,600,mg/kg,Middle
003017804022,Rat230_2,0040,16,2,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,600,mg/kg,Middle
003017644026,Rat230_2,0040,16,3,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,600,mg/kg,Middle
003017804023,Rat230_2,0040,16,3,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,3 hr,600,mg/kg,Middle
003017645006,Rat230_2,0040,17,1,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,600,mg/kg,Middle
003017808015,Rat230_2,0040,17,1,Kidney,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,600,mg/kg,Middle
003017645007,Rat230_2,0040,17,2,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,600,mg/kg,Middle
003017808016,Rat230_2,0040,17,2,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,600,mg/kg,Middle
003017645008,Rat230_2,0040,17,4,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,600,mg/kg,Middle
003017808017,Rat230_2,0040,17,4,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,6 hr,600,mg/kg,Middle
003017645018,Rat230_2,0040,18,1,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,600,mg/kg,Middle
003017811025,Rat230_2,0040,18,1,Kidney,A,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,600,mg/kg,Middle
003017645019,Rat230_2,0040,18,3,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,600,mg/kg,Middle
003017811026,Rat230_2,0040,18,3,Kidney,C,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,600,mg/kg,Middle
003017645020,Rat230_2,0040,18,5,Liver,B,acetaminophen,APAP,00001,Rat,in vivo,Single,Male,Crj:CD(SD)IGS,Gavage,6,9 hr,600,mg/kg,Middle
